vol_name,dice_aneur_kostas,recall_aneur_kostas,precision_aneur_kostas,dice_tm,recall_tm,precision_tm,mhd
10047B.nii.gz,0.8961748480796814,0.8118811845779419,1.0,0.5985401272773743,0.8118811845779419,1.0,0.5685518370262335
10048B.nii.gz,0.980814516544342,0.962351381778717,1.0,0.7640272974967957,0.962351381778717,1.0,0.534274550508603
10029.nii.gz,1.0,1.0,1.0,0.3358568549156189,1.0,1.0,1.7786344977711337
10024.nii.gz,0.9858585596084595,0.9721115827560425,1.0,0.4440400302410126,0.9721115827560425,1.0,1.0144542913870906
10068F.nii.gz,1.0,1.0,1.0,0.37976154685020447,1.0,1.0,2.6110382824154326
10072F.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,inf
10037.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,79.61111125033838
10068B.nii.gz,1.0,1.0,1.0,0.5439212918281555,1.0,1.0,0.8406139243292394
10072B.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,44.18277441639751
10047F.nii.gz,0.8583333492279053,0.7518247961997986,1.0,0.6936026811599731,0.7518247961997986,1.0,0.38930249996045574
10015.nii.gz,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0
10049F.nii.gz,0.9691011309623718,0.9400544762611389,1.0,0.7770270109176636,0.9400544762611389,1.0,0.36444559374184005
10028.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,inf
10039.nii.gz,0.12716762721538544,0.06790123134851456,1.0,0.07158351689577103,0.06790123134851456,1.0,56.57573164145397
10035.nii.gz,0.9977186322212219,0.9954476356506348,1.0,0.5724258422851562,0.9954476356506348,1.0,0.9362331214792639
10048F.nii.gz,0.9928946495056152,0.9858895540237427,1.0,0.7576614618301392,0.9858895540237427,1.0,0.5608036081505823
10009.nii.gz,1e-12,1e-12,1e-12,0.0,0.0,0.0,inf
10077B.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,47.469451470435395
10060F.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,inf
10077F.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,55.06567060421904
10010.nii.gz,1e-12,1e-12,1e-12,0.0,0.0,0.0,0.0
10060B.nii.gz,0.0,0.0,1e-12,0.0,0.0,0.0,286.78340646494314
10049B.nii.gz,0.8606173992156982,0.7553366422653198,1.0,0.6906906962394714,0.7553366422653198,1.0,0.46008076859862146
